Date,Category,Publisher,Heading,URL,,,,,,,
2020-01-15,Community Policing & Demographics,The Star,Sentencing hearing adjourned after ‘chair girl’ denies posting video on Snapchat,https://www.thestar.com/news/gta/2020/01/14/sentencing-hearing-adjourned-after-chair-girl-denies-posting-video-on-snapchat.html,,,,,,,
2020-01-16,Violent Crime,The Star,Man charged with first-degree murder in December homicide outside Scarborough building,https://www.thestar.com/news/crime/2020/01/15/man-charged-with-first-degree-murder-in-december-homicide-outside-scarborough-building.html,,,,,,,
2020-01-16,Violent Crime,The Star,"Barry and Honey Sherman were murdered within hours of arriving home, Toronto police say",https://www.thestar.com/news/canada/2020/01/15/barry-and-honey-sherman-were-murdered-within-hours-of-arriving-home-toronto-police-say.html,,,,,,,
2020-01-17,Violent Crime,The Star,"Prosecutor hopes to confirm trial start date for Alek Minassian, driver in Yonge Street van attack",https://www.thestar.com/news/gta/2020/01/16/prosecutor-hopes-to-confirm-trial-start-date-for-alek-minassian-driver-in-yonge-street-van-attack.html,,,,,,,
2020-01-17,Violent Crime,The Star,Police warn of food robberies targeting delivery people in Scarborough,https://www.thestar.com/news/canada/2020/01/16/food-delivery-people-targeted-in-string-of-robberies-in-east-toronto-police-says.html,,,,,,,
2020-01-17,Violent Crime,The Star,Brampton homicide victim identified as woman who went missing in Toronto,https://www.thestar.com/news/crime/2020/01/16/brampton-homicide-victim-identified-as-woman-who-went-missing-in-toronto.html,,,,,,,
2020-01-17,Community Policing & Demographics,The Star,Teen charged after hackers target Toronto cybersecurity experts in $50-million scam,https://www.thestar.com/news/gta/2020/01/16/teen-charged-after-hackers-target-toronto-cybersecurity-experts-in-50-million-scam.html,,,,,,,
2020-01-18,Violent Crime,The Star,Barry and Honey Sherman murder investigation has interviewed few witnesses in almost 2 years. Cops are focused on reviewing video and data to catch the killer,https://www.thestar.com/news/canada/2020/01/17/barry-and-honey-sherman-murder-investigation-has-interviewed-few-witnesses-in-almost-2-years-cops-are-focused-on-reviewing-video-and-data-to-catch-the-killer.html,,,,,,,
2020-01-18,Traffic,The Star,Toronto firefighter charged after girl struck at pedestrian crossover,https://www.thestar.com/news/gta/2020/01/17/toronto-firefighter-charged-after-girl-struck-at-pedestrian-crossover.html,,,,,,,
2020-01-18,Traffic,The Star,Pedestrian pinned under car after she’s struck by driver in North York parking lot,https://www.thestar.com/news/gta/2020/01/17/pedestrian-suffers-critical-injuries-after-shes-struck-by-driver-in-north-york-parking-lot.html,,,,,,,
2020-01-19,Community Policing & Demographics,The Star,The proof was on his phone the whole time. The story of one Toronto man’s wrongful conviction,https://www.thestar.com/news/gta/2020/01/18/the-proof-was-on-his-phone-the-whole-time-the-story-of-one-toronto-mans-wrongful-conv,,,,,,,
2020-01-19,Traffic,The Star,Police report 250 collisions as snowstorm hits Toronto,https://www.thestar.com/news/gta/2020/01/18/police-report-250-collisions-as-snowstorm-hits-toronto.html,,,,,,,
2020-01-21,Violent Crime,The Star,Teen dead after shooting near Markham and Ellesmere,https://www.thestar.com/news/gta/2020/01/20/man-dead-after-shooting-near-markham-and-ellesmere.html,,,,,,,
2020-01-21,Community Policing & Demographics,The Star,"Scarborough homicide victim ‘like a second mother,’ says family friend",https://www.thestar.com/news/crime/2020/01/20/scarborough-homicide-victim-like-a-second-mother-says-family-friend.html,,,,,,,
2020-01-21,Violent Crime,The Star,Ex-husband wanted in murder of 28-year-old Heeral Patel is found dead in Toronto,https://www.thestar.com/news/gta/2020/01/20/ex-husband-wanted-in-murder-of-28-year-old-heeral-patel-is-found-dead-in-toronto.html,,,,,,,
2020-01-21,Persons in Crisis,The Star,University of Toronto needs to do more to address the controversial practice of handcuffing students seeking help,https://www.thestar.com/opinion/star-columnists/2020/01/20/university-of-toronto-needs-to-do-more-when-it-comes-to-controversial-practice-of-handcuffing-of-students-seeking-help.html,,,,,,,
2020-01-22,Violent Crime,The Star,"Killing of ‘completely innocent’ 15-year-old boy near Woburn high school leaves family devastated, community mourning",https://www.thestar.com/news/gta/2020/01/21/15-year-old-victim-killed-near-woburn-high-school-was-completely-innocent.html,,,,,,,
2020-01-22,Violent Crime,The Star,Seven Toronto teens who were murdered in 2019,https://www.thestar.com/news/gta/2020/01/21/seven-toronto-teens-who-were-murdered-in-2019.html,,,,,,,
2020-01-22,Community Policing & Demographics,The Star,Ontario’s human rights watchdog made a shortlist for new commissioners. Doug Ford picked two of his own instead,https://www.thestar.com/politics/provincial/2020/01/21/ontarios-human-rights-watchdog-made-a-shortlist-for-new-commissioners-doug-ford-picked-two-of-his-own-instead.html,,,,,,,
2020-01-22,Community Policing & Demographics,The Star,New member of Toronto Police Services Board is a ‘big proponent of community policing’,https://www.thestar.com/news/gta/2020/01/21/new-member-of-toronto-police-services-board-is-a-big-proponent-of-community-policing.html,,,,,,,
