Date,Category,Publisher,Heading,URL,,,,,,,
2020-02-20,Community Policing & Demographics,The Star,Contractors’ association withdraws offer to fund new armoured car for Toronto police Emergency Task Force,https://www.thestar.com/news/gta/2020/02/19/contractors-association-withdraws-offer-to-fund-new-armoured-car-for-toronto-police-emergency-task-force.html,,,,,,,
2020-02-20,GIS,The Star,Is the facial recognition technology used by GTA police illegal?,https://www.thestar.com/news/gta/2020/02/20/did-police-break-the-law-by-using-controversial-face-recognition-app.html,,,,,,,
2020-02-21,Violent Crime,The Star,"Video shows Schlatter, Richey walking together on night she went missing",https://www.thestar.com/news/gta/2020/02/20/video-shows-schlatter-richey-walking-together-on-night-she-went-missing.html,,,,,,,
2020-02-22,Violent Crime,The Star,Homicide unit investigating after a woman dies in Scarborough shooting,https://www.thestar.com/news/gta/2020/02/21/one-dies-in-scarborough-shooting.html,,,,,,,
2020-02-22,Staffing & Workload,The Star,"Judge tosses heroin case after finding Toronto cop repeatedly misled court, ignored a subpoena then retired and left for Italy",https://www.thestar.com/news/gta/2020/02/21/judge-tosses-heroin-case-after-finding-toronto-cop-repeatedly-misled-court-ignored-a-subpoena-retired-and-left-for-italy.html,,,,,,,
2020-02-22,Violent Crime,The Star,Schlatter’s lawyers draw attention to other man seen on night Tess Richey disappeared,https://www.thestar.com/news/gta/2020/02/21/schattlers-lawyers-draw-attention-to-other-man-seen-on-night-tess-richey-disappeared.html,,,,,,,
2020-02-22,Community Policing & Demographics,The Star,"Privacy commissioners launch investigation into facial recognition technology tested by Toronto police, other GTA forces",https://www.thestar.com/news/gta/2020/02/20/privacy-commissioners-launch-investigation-into-facial-recognition-technology-tested-by-toronto-police-other-gta-forces.html,,,,,,,
2020-02-23,Violent Crime,The Star,Man charged with first-degree murder after fatal hammer attack in Scarborough,https://www.thestar.com/news/gta/2020/02/22/man-charged-with-first-degree-murder-after-fatal-hammer-attack-in-scarborough.html,,,,,,,
2020-02-23,Violent Crime,The Star,"No one injured after shooting in the Bridle Path, Toronto police say",https://www.thestar.com/news/gta/2020/02/22/no-one-injured-after-shooting-in-the-bridle-path-toronto-police-say.html,,,,,,,
2020-02-23,Traffic,The Star,Would enforcing traffic laws make our streets safer?,https://www.thestar.com/opinion/letters_to_the_editors/2020/02/22/would-enforcing-traffic-laws-make-our-streets-safer.html,,,,,,,
2020-02-23,Community Policing & Demographics,The Star,Police chiefs say facial recognition needs more review — but cops should be able to use AI,https://www.thestar.com/news/gta/2020/02/22/police-chiefs-say-facial-recognition-needs-more-review-but-cops-should-be-able-to-use-ai.html,,,,,,,
2020-02-24,Violent Crime,The Star,"Woman in her 40s in serious condition following shooting in Toronto, police say",https://www.thestar.com/news/gta/2020/02/23/woman-in-her-40s-in-serious-condition-following-shooting-in-toronto-police-say.html,,,,,,,
2020-02-24,Violent Crime,The Star,Man in 40s seriously injured after shooting in Scarborough,https://www.thestar.com/news/gta/2020/02/23/man-in-40s-suffers-serious-injuries-after-shooting-in-scarborough.html,,,,,,,
2020-02-24,Community Policing & Demographics,The Star,We need a stop to ‘facial fingerprinting’ by police,https://www.thestar.com/opinion/editorials/2020/02/24/we-need-a-stop-to-facial-fingerprinting-by-police.html,,,,,,,
2020-02-25,Violent Crime,The Star,"One dead, two injured in Downsview stabbing, Toronto police say",https://www.thestar.com/news/crime/2020/02/24/one-dead-two-injured-in-downsview-stabbing-toronto-police-say.html,,,,,,,
2020-02-25,Traffic,The Star,"Pedestrian, 79, dead in Sunday collision, Toronto police say",https://www.thestar.com/news/gta/2020/02/24/toronto-police-seeking-witnesses-after-fatal-collision-sunday.html,,,,,,,
2020-02-26,Violent Crime,The Star,17-year-old boy charged with murder in Downsview triple stabbing,https://www.thestar.com/news/crime/2020/02/25/17-year-old-boy-charged-with-murder-in-downsview-triple-stabbing.html,,,,,,,
2020-02-26,Violent Crime,The Star,Toronto man faces terrorism charge after deadly hammer attack,https://www.thestar.com/news/gta/2020/02/25/toronto-man-faces-terrorism-charge-after-deadly-hammer-attack.html,,,,,,,
2020-02-26,Community Policing & Demographics,The Star,GO Transit tracks open in Toronto as police remove and arrest demonstrators overnight,https://www.thestar.com/news/gta/2020/02/26/go-transit-tracks-open-in-toronto-as-police-remove-and-arrest-demonstrators-overnight.html,,,,,,,
2020-02-26,Community Policing & Demographics,The Star,Toronto feels the pain of Wet’suwet’en solidarity blockades as protesters target rail lines,https://www.thestar.com/news/gta/2020/02/25/toronto-feels-the-pain-of-wetsuweten-solidarity-blockades-as-protesters-target-rail-lines.html,,,,,,,
2020-02-26,Community Policing & Demographics,The Star,Toronto guns-and-gangs officer on mental health toll of the job: ‘Sometimes career suicide’s better than the other one’,https://www.thestar.com/news/gta/2020/02/25/sometimes-career-suicides-better-than-the-other-one.html,,,,,,,
2020-02-27,Violent Crime,The Star,Man pleads guilty in Toronto police’s largest gun seizure. He was caught with 60 handguns smuggled from Florida,https://www.thestar.com/news/gta/2020/02/26/man-pleads-guilty-in-toronto-polices-largest-gun-seizure-he-was-caught-with-60-handguns-smuggled-from-florida.html,,,,,,,
2020-02-27,Violent Crime,The Star,North York woman killed in stabbing at spa was a ‘loving mother’ who had ‘contagious’ smile,https://www.thestar.com/news/gta/2020/02/26/north-york-woman-killed-in-stabbing-at-spa-was-a-loving-mother-who-had-contagious-smile.html,,,,,,,
2020-02-27,Violent Crime,The Star,What’s happened so far at the trial of the man accused of Tess Richey’s downtown Toronto murder,https://www.thestar.com/news/gta/2020/02/26/whats-happened-so-far-at-the-trial-of-the-man-accused-of-tess-richeys-downtown-toronto-murder.html,,,,,,,
2020-02-28,Overdoses & Cannabis,The Star,Toronto police warn of potentially deadly drug mixture after spike in overdoses,https://www.thestar.com/news/city_hall/2020/02/27/toronto-police-warn-of-potentially-deadly-drug-mixture-after-spike-in-overdoses.html,,,,,,,
2020-02-28,Violent Crime,The Star,"In a few seconds of grainy video, a Toronto jury sees Tess Richey’s last public moments with an accused killer",https://www.thestar.com/news/gta/2020/02/27/in-a-few-seconds-of-grainy-video-a-toronto-jury-sees-tess-richeys-last-public-moments-with-an-accused-killer.html,,,,,,,
2020-02-28,Community Policing & Demographics,The Star,Watch: Pilot injured after Ornge emergency helicopter hit with green laser,https://www.thestar.com/news/gta/2020/02/27/pilot-of-ornge-emergency-helicopter-injured-by-green-laser.html,,,,,,,
2020-02-28,Traffic,The Star,Wilson subway station evacuated due to suspicious package,https://www.thestar.com/news/gta/2020/02/27/wilson-subway-station-evacuated-due-to-suspicious-package.html,,,,,,,
2020-02-28,Community Policing & Demographics,The Star,Facial recognition app Clearview AI has been used far more widely in Canada than previously known,https://www.thestar.com/news/canada/2020/02/27/facial-recognition-app-clearview-ai-has-been-used-far-more-widely-in-canada-than-previously-known.html,,,,,,,
2020-02-29,Traffic,The Star,Pedestrian suffers serious injuries after he is struck by driver on King Street,https://www.thestar.com/news/gta/2020/02/28/ttc-rider-struck-by-driver-after-exiting-streetcar-on-king-street.html,,,,,,,
